VariableName,ResultValue
"NewCapacity(RE1,MINCOA,2021)",13.759193
"NewCapacity(RE1,MINCOA,2022)",13.759193
"NewCapacity(RE1,MINCOA,2023)",13.759193
"NewCapacity(RE1,MINCOA,2024)",13.759193
"NewCapacity(RE1,MINCOA,2025)",13.759193
"NewCapacity(RE1,MINCOA,2026)",13.759193
"NewCapacity(RE1,MINCOA,2027)",13.759193
"NewCapacity(RE1,MINCOA,2028)",13.759193
"NewCapacity(RE1,MINCOA,2029)",13.759193
"NewCapacity(RE1,MINCOA,2030)",13.759193
"NewCapacity(RE1,MINCOA,2031)",13.759193
"NewCapacity(RE1,MINCOA,2032)",13.759193
"NewCapacity(RE1,MINCOA,2033)",13.759193
"NewCapacity(RE1,MINCOA,2034)",13.759193
"NewCapacity(RE1,MINCOA,2035)",13.759193
"NewCapacity(RE1,MINCOA,2036)",13.759193
"NewCapacity(RE1,MINCOA,2037)",13.759193
"NewCapacity(RE1,MINCOA,2038)",13.759193
"NewCapacity(RE1,MINCOA,2039)",13.759193
"NewCapacity(RE1,MINCOA,2040)",18.956231
"NewCapacity(RE1,MINCOA,2041)",20.291565
"NewCapacity(RE1,MINCOA,2042)",21.701883
"NewCapacity(RE1,MINCOA,2043)",22.764213
"NewCapacity(RE1,MINCOA,2044)",23.634761
"NewCapacity(RE1,MINCOA,2045)",28.0006
"NewCapacity(RE1,MINCOA,2046)",28.991141
"NewCapacity(RE1,MINCOA,2047)",30.654832
"NewCapacity(RE1,MINCOA,2048)",32.411565
"NewCapacity(RE1,MINCOA,2049)",34.266537
"NewCapacity(RE1,MINCOA,2050)",34.910209
"NewCapacity(RE1,MINCOA,2051)",34.910209
"NewCapacity(RE1,MINCOA,2052)",34.910209
"NewCapacity(RE1,MINCOA,2053)",34.910209
"NewCapacity(RE1,MINCOA,2054)",34.910209
"NewCapacity(RE1,MINCOA,2055)",34.910209
"NewCapacity(RE1,MINCOA,2056)",21.151016
"NewCapacity(RE1,MINCOA,2057)",21.151016
"NewCapacity(RE1,MINCOA,2058)",21.151016
"NewCapacity(RE1,MINCOA,2059)",21.151016
"NewCapacity(RE1,MINCOA,2060)",21.151016
"NewCapacity(RE1,MINCOA,2061)",21.151016
"NewCapacity(RE1,MINCOA,2062)",21.151016
"NewCapacity(RE1,MINCOA,2063)",21.151016
"NewCapacity(RE1,MINCOA,2064)",21.151016
"NewCapacity(RE1,MINCOA,2065)",21.151016
"NewCapacity(RE1,MINCOA,2066)",21.151016
"NewCapacity(RE1,MINCOA,2067)",21.151016
"NewCapacity(RE1,MINCOA,2068)",21.151016
"NewCapacity(RE1,MINCOA,2069)",21.151016
"NewCapacity(RE1,MINCOA,2070)",21.151016
"NewCapacity(RE1,MINOIL,2015)",18.593822
"NewCapacity(RE1,MINOIL,2016)",20.625977
"NewCapacity(RE1,MINOIL,2017)",20.625977
"NewCapacity(RE1,MINOIL,2018)",20.625977
"NewCapacity(RE1,MINOIL,2019)",20.625977
"NewCapacity(RE1,MINOIL,2020)",20.625977
"NewCapacity(RE1,MINNGS,2015)",18.51369
"NewCapacity(RE1,MINNGS,2016)",18.51369
"NewCapacity(RE1,MINNGS,2017)",18.51369
"NewCapacity(RE1,MINNGS,2018)",18.51369
"NewCapacity(RE1,MINNGS,2019)",18.51369
"NewCapacity(RE1,MINNGS,2020)",18.51369
"NewCapacity(RE1,MINNGS,2021)",18.51369
"NewCapacity(RE1,MINNGS,2022)",18.51369
"NewCapacity(RE1,MINNGS,2023)",18.51369
"NewCapacity(RE1,MINNGS,2024)",18.51369
"NewCapacity(RE1,MINNGS,2025)",18.51369
"NewCapacity(RE1,MINNGS,2026)",18.51369
"NewCapacity(RE1,MINNGS,2027)",18.51369
"NewCapacity(RE1,MINNGS,2028)",18.51369
"NewCapacity(RE1,MINNGS,2029)",16.162022
"NewCapacity(RE1,MINNGS,2030)",16.162022
"NewCapacity(RE1,MINNGS,2031)",16.162022
"NewCapacity(RE1,MINNGS,2032)",16.162022
"NewCapacity(RE1,MINNGS,2033)",16.162022
"NewCapacity(RE1,MINNGS,2034)",16.162022
"NewCapacity(RE1,MINNGS,2035)",18.51369
"NewCapacity(RE1,MINNGS,2036)",18.51369
"NewCapacity(RE1,MINNGS,2037)",18.51369
"NewCapacity(RE1,MINNGS,2038)",18.51369
"NewCapacity(RE1,MINNGS,2039)",18.51369
"NewCapacity(RE1,MINNGS,2040)",16.162022
"NewCapacity(RE1,MINNGS,2041)",16.162022
"NewCapacity(RE1,MINNGS,2042)",16.162022
"NewCapacity(RE1,MINNGS,2043)",16.162022
"NewCapacity(RE1,MINNGS,2044)",16.162022
"NewCapacity(RE1,MINNGS,2045)",13.506986
"NewCapacity(RE1,MINNGS,2046)",13.506986
"NewCapacity(RE1,MINNGS,2047)",14.2821
"NewCapacity(RE1,MINNGS,2048)",15.100563
"NewCapacity(RE1,MINNGS,2049)",15.964795
"NewCapacity(RE1,MINNGS,2050)",16.87735
"NewCapacity(RE1,MINNGS,2051)",17.457536
"NewCapacity(RE1,MINNGS,2052)",18.05713
"NewCapacity(RE1,MINNGS,2053)",18.67678
"NewCapacity(RE1,MINNGS,2054)",18.67678
"NewCapacity(RE1,MINNGS,2055)",18.67678
"NewCapacity(RE1,MINNGS,2056)",18.67678
"NewCapacity(RE1,MINNGS,2057)",18.67678
"NewCapacity(RE1,MINNGS,2058)",18.67678
"NewCapacity(RE1,MINNGS,2059)",18.67678
"NewCapacity(RE1,MINNGS,2060)",18.67678
"NewCapacity(RE1,MINNGS,2061)",18.67678
"NewCapacity(RE1,MINNGS,2062)",18.67678
"NewCapacity(RE1,MINNGS,2063)",18.67678
"NewCapacity(RE1,MINNGS,2064)",18.67678
"NewCapacity(RE1,MINNGS,2065)",18.713685
"NewCapacity(RE1,MINNGS,2066)",19.293762
"NewCapacity(RE1,MINNGS,2067)",20.031019
"NewCapacity(RE1,MINNGS,2068)",20.785409
"NewCapacity(RE1,MINNGS,2069)",21.55739
"NewCapacity(RE1,MINNGS,2070)",22.347436
"NewCapacity(RE1,PWRCOA,2021)",0.19120076
"NewCapacity(RE1,PWRCOA,2040)",0.072219174
"NewCapacity(RE1,PWRCOA,2041)",0.018556105
"NewCapacity(RE1,PWRCOA,2042)",0.019598088
"NewCapacity(RE1,PWRCOA,2043)",0.014762371
"NewCapacity(RE1,PWRCOA,2044)",0.012097313
"NewCapacity(RE1,PWRCOA,2045)",0.060668659
"NewCapacity(RE1,PWRCOA,2046)",0.013764779
"NewCapacity(RE1,PWRCOA,2047)",0.023119014
"NewCapacity(RE1,PWRCOA,2048)",0.024411944
"NewCapacity(RE1,PWRCOA,2049)",0.025777099
"NewCapacity(RE1,PWRCOA,2050)",0.0089446128
"NewCapacity(RE1,PWRNGS001,2015)",0.2915364
"NewCapacity(RE1,PWRNGS001,2045)",0.24364389
